3	202117	211101
6	202146	211201
7	202173	211102
8	202105	211103
9	202176	211301
10	202160	211104
11	202177	211105
12	202165	211302
13	202193	211106
14	202156	211107
15	202147	211108
17	202125	211303
18	202184	211202
19	202163	211304
20	202196	211109
21	202151	211110
22	202181	211203
23	202188	211204
26	202123	211305
27	202133	211205
28	202118	211306
31	202162	211206
32	202127	211207
33	202128	211208
34	202137	211307
35	202115	211209
36	202140	211210
37	202171	211308
38	202144	211309
39	202158	211310
