3	202117		1		2		3
6	202146		2		1		3
7	202173		1		3		2
8	202105		1		2		3
9	202176		3		1		2
10	202160		1		3		2
11	202177		1		3		2
12	202165		3		1		2
13	202193		1		2		3
14	202156		1		2		3
15	202147		1		2		3
17	202125		3		1		2
18	202184		2		1		3
19	202163		3		1		2
20	202196		1		3		2
21	202151		1		2		3
22	202181		2		3		1
23	202188		1		2		3
26	202123		3		1		2
27	202133		2		3		1
28	202118		3		1		2
31	202162		1		2		3
32	202127		2		3		1
33	202128		2		3		1
34	202137		3		2		1
35	202115		1		2		3
36	202140		2		3		1
37	202171		2		3		1
38	202144		3		2		1
39	202158		3		1		2
40	202178		2		3		1
41	202141		2		3		1
42	202185		1		2		3
43	202191		2		3		1
45	202164		2		1		3
46	202157		2		3		1
